name,score
Intel Core i5 750S @ 2.40GHz,1326
Intel Core i5 E 520 @ 2.40GHz,1619
Intel Core i5-10200H @ 2.40GHz,7968
Intel Core i5-10210U @ 1.60GHz,6064
Intel Core i5-10210Y @ 1.00GHz,4072
Intel Core i5-10300H @ 2.50GHz,8193
Intel Core i5-1030NG7 @ 1.10GHz,5601
Intel Core i5-10310U @ 1.70GHz,5903
Intel Core i5-1035G1 @ 1.00GHz,7146
Intel Core i5-1035G4 @ 1.10GHz,7615
Intel Core i5-1035G7 @ 1.20GHz,7947
Intel Core i5-1038NG7 @ 2.00GHz,8794
Intel Core i5-10400 @ 2.90GHz,11984
Intel Core i5-10400F @ 2.90GHz,12109
Intel Core i5-10400H @ 2.60GHz,8199
Intel Core i5-10400T @ 2.00GHz,9813
