name,brand,family,model,vram_gb,base_ghz,boost_ghz,release_year,process_nm,directx,opengl,shader_model,architecture,bus_interface,memory_type
MSI N740-1GD5,,,MSI N740-1GD5,1.0,1006.0,,,,,,,,,
Asus GT720-2GD3-CSM,,,Asus GT720-2GD3-CSM,2.0,797.0,,,,,,,,,
PNY VCGGT7201D3LXPB,,,PNY VCGGT7201D3LXPB,1.0,797.0,,,,,,,,,
Palit NE5X770S1042-1045F,,,Palit NE5X770S1042-1045F,2.0,1085.0,1137.0,,,,,,,,
Sapphire ITX Compact,,,Sapphire ITX Compact,2.0,928.0,,,,,,,,,
Gigabyte GV-N980D5-4GD-B,,,Gigabyte GV-N980D5-4GD-B,4.0,1127.0,1216.0,,,,,,,,
EVGA Classified Reference,,,EVGA Classified Reference,3.0,876.0,928.0,,,,,,,,
Zotac ZT-71104-10L,,,Zotac ZT-71104-10L,1.0,700.0,,,,,,,,,
Zotac ZT-71103-10L,,,Zotac ZT-71103-10L,2.0,700.0,,,,,,,,,
MSI N750TI-2GD5/OCV1,,,MSI N750TI-2GD5/OCV1,2.0,1059.0,1137.0,,,,,,,,
AMD FirePro 2460,AMD,,FirePro 2460,0.5,,,,,,,,,,
AMD FirePro W600,AMD,,FirePro W600,2.0,600.0,,,,,,,,,
AMD FirePro V4900,AMD,,FirePro V4900,1.0,800.0,,,,,,,,,
AMD FirePro S9050,AMD,,FirePro S9050,12.0,900.0,,,,,,,,,
AMD FirePro S9150,AMD,,FirePro S9150,16.0,900.0,,,,,,,,,
ATI FirePro W2100,,,ATI FirePro W2100,2.0,630.0,,,,,,,,,
Sapphire 11215-00-20G,,,Sapphire 11215-00-20G,1.0,1000.0,,,,,,,,,
Zotac ZT-90303-10M,,,Zotac ZT-90303-10M,2.0,1266.0,1329.0,,,,,,,,
HP A7U60AT,,,HP A7U60AT,0.5,706.0,,,,,,,,,
HP C3G86AT,,,HP C3G86AT,4.0,600.0,,,,,,,,,
PNY VCQK5000MAC-PB,,,PNY VCQK5000MAC-PB,4.0,706.0,,,,,,,,,
Asus GT720-SL-2GD3-BRK,,,Asus GT720-SL-2GD3-BRK,2.0,797.0,,,,,,,,,
Asus GT740-OC-2GD5,,,Asus GT740-OC-2GD5,2.0,1033.0,,,,,,,,,
Zotac ZT-71108-10L,,,Zotac ZT-71108-10L,4.0,902.0,,,,,,,,,
Zogis Superclock,,,Zogis Superclock,2.0,1228.0,1291.0,,,,,,,,
Gigabyte GV-N740D3-2GI,,,Gigabyte GV-N740D3-2GI,2.0,993.0,,,,,,,,,
Palit NE5XTIX015KB,,,Palit NE5XTIX015KB,12.0,1000.0,1075.0,,,,,,,,
GALAX 97NPH6DT8RVZ,,,GALAX 97NPH6DT8RVZ,4.0,1126.0,1266.0,,,,,,,,
Asus GTX980TI-6GD5,,,Asus GTX980TI-6GD5,6.0,1000.0,1076.0,,,,,,,,
Asus STRIX-R9380-DC2OC-2GD5-GAMING,,,Asus STRIX-R9380-DC2OC-2GD5-GAMING,2.0,990.0,,,,,,,,,
PowerColor AX R9 FURY X 4GBHBM-DH,,,PowerColor AX R9 FURY X 4GBHBM-DH,4.0,1050.0,,,,,,,,,
Club 3D CGAX-R9FX8,,,Club 3D CGAX-R9FX8,4.0,1050.0,,,,,,,,,
Asus GTX760-DC2OC-4GD5,,,Asus GTX760-DC2OC-4GD5,4.0,1006.0,1072.0,,,,,,,,
Asus STRIX-R9FURY-DC3-4G-GAMING,,,Asus STRIX-R9FURY-DC3-4G-GAMING,4.0,1000.0,1020.0,,,,,,,,
Gigabyte GV-N960OC-2GD (rev. 1.0),,,Gigabyte GV-N960OC-2GD (rev. 1.0),2.0,1190.0,1279.0,,,,,,,,
Gigabyte GV-R939WF2-8GD,,,Gigabyte GV-R939WF2-8GD,8.0,1000.0,,,,,,,,,
XFX R7360P2DF5,,,XFX R7360P2DF5,2.0,1050.0,,,,,,,,,
MSI GTX 960 4GD5T Titanium OC,,,MSI GTX 960 4GD5T Titanium OC,4.0,1178.0,1241.0,,,,,,,,
Asus R9NANO-4GB,,,Asus R9NANO-4GB,4.0,1000.0,,,,,,,,,
Asus GTX950-M-2GD5,,,Asus GTX950-M-2GD5,2.0,1026.0,1190.0,,,,,,,,
MSI LIGHTNING LE,,,MSI LIGHTNING LE,6.0,1026.0,1114.0,,,,,,,,
MSI R9 380 4GD5T OC,,,MSI R9 380 4GD5T OC,4.0,980.0,,,,,,,,,
EVGA VR EDITION,,,EVGA VR EDITION,6.0,1000.0,1076.0,,,,,,,,
Gigabyte GV-N710D3-1GL 1.0,,,Gigabyte GV-N710D3-1GL 1.0,1.0,954.0,,,,,,,,,
EVGA CLASSIFIED GAMING ACX 2.0+,,,EVGA CLASSIFIED GAMING ACX 2.0+,6.0,1000.0,1190.0,,,,,,,,
Asus 20th Anniversary Gold Edition,,,Asus 20th Anniversary Gold Edition,6.0,1266.0,1367.0,,,,,,,,
Gigabyte GV-R736OC-2GD (rev. 2.0),,,Gigabyte GV-R736OC-2GD (rev. 2.0),2.0,1200.0,,,,,,,,,
MSI GTX 950 2GD5T OCV2,,,MSI GTX 950 2GD5T OCV2,2.0,1076.0,1253.0,,,,,,,,
Sapphire 31004-56-40A,,,Sapphire 31004-56-40A,4.0,930.0,,,,,,,,,
Inno3D Founders Edition,,,Inno3D Founders Edition,8.0,1607.0,1733.0,,,,,,,,
Gainward GTX1070_Phoenix_GLH,,,Gainward GTX1070_Phoenix_GLH,8.0,1670.0,1873.0,,,,,,,,
XFX GTR,,,XFX GTR,8.0,1120.0,1338.0,,,,,,,,
XFX RX-480M4BFA6,,,XFX RX-480M4BFA6,4.0,1120.0,1266.0,,,,,,,,
Gainward Phoenix GLH,,,Gainward Phoenix GLH,8.0,1746.0,1885.0,,,,,,,,
MSI QUICK SILVER,,,MSI QUICK SILVER,8.0,1506.0,1721.0,,,,,,,,
Zotac ZT-71304-20L,,,Zotac ZT-71304-20L,1.0,954.0,,,,,,,,,
PNY VCGGTX10502PB,,,PNY VCGGTX10502PB,2.0,1354.0,1455.0,,,,,,,,
VisionTek 900905,,,VisionTek 900905,4.0,926.0,1206.0,,,,,,,,
EVGA DT Gaming iCX,,,EVGA DT Gaming iCX,8.0,1506.0,1683.0,,,,,,,,
XFX RX-460P4TFG5,,,XFX RX-460P4TFG5,4.0,1090.0,1220.0,,,,,,,,
MSI Radeon RX 460 2GT LP,,,MSI Radeon RX 460 2GT LP,2.0,1090.0,1200.0,,,,,,,,
XFX RX-550P2SFG5,,,XFX RX-550P2SFG5,2.0,1100.0,1203.0,,,,,,,,
Gigabyte GV-N1080AORUS-8GD,,,Gigabyte GV-N1080AORUS-8GD,8.0,1733.0,1873.0,,,,,,,,
MSI IRON,,,MSI IRON,8.0,1247.0,1546.0,,,,,,,,
Gigabyte GV-N610-2GI,,,Gigabyte GV-N610-2GI,2.0,810.0,,,,,,,,,
PowerColor AXR7 360 2GBD5-DHE/OC,,,PowerColor AXR7 360 2GBD5-DHE/OC,2.0,1060.0,,,,,,,,,
PowerColor AXRX 560 4GBD5-DHAM,,,PowerColor AXRX 560 4GBD5-DHAM,4.0,115.0,1176.0,,,,,,,,
EVGA FTW3 ELITE,,,EVGA FTW3 ELITE,11.0,1569.0,1683.0,,,,,,,,
XFX RX-560D4SFG5,,,XFX RX-560D4SFG5,4.0,1175.0,1295.0,,,,,,,,
XFX RX-VEGALDFF6,,,XFX RX-VEGALDFF6,8.0,1156.0,1471.0,,,,,,,,
Asus AREZ,,,Asus AREZ,2.0,1149.0,1197.0,,,,,,,,
KFA2 60NRJ7DSX1PK,,,KFA2 60NRJ7DSX1PK,6.0,1365.0,1680.0,,,,,,,,
GALAX 60NRJ7DSX1PO,,,GALAX 60NRJ7DSX1PO,6.0,1365.0,1680.0,,,,,,,,
MSI RX 5700 8G,,,MSI RX 5700 8G,8.0,1465.0,1725.0,,,,,,,,
EVGA FTW3,,,EVGA FTW3,8.0,1515.0,1710.0,,,,,,,,
MSI Radeon RX 5500 XT MECH 4G,,,MSI Radeon RX 5500 XT MECH 4G,4.0,1607.0,1845.0,,,,,,,,
Gigabyte WINDFORCE Rev 2.0,,,Gigabyte WINDFORCE Rev 2.0,6.0,1365.0,1680.0,,,,,,,,
PowerColor AX7870-2GBD5-2DH/OC,,,PowerColor AX7870-2GBD5-2DH/OC,2.0,1030.0,,,,,,,,,
GALAX EXG (1-Click OC),,,GALAX EXG (1-Click OC),12.0,1365.0,1725.0,,,,,,,,
GALAX EXG White (1-Click OC),,,GALAX EXG White (1-Click OC),12.0,1365.0,1725.0,,,,,,,,
Sapphire 11304-05-10G,,,Sapphire 11304-05-10G,8.0,1626.0,2491.0,,,,,,,,
Gigabyte GAMING PRO,,,Gigabyte GAMING PRO,8.0,1410.0,1665.0,,,,,,,,
VisionTek 901363,,,VisionTek 901363,8.0,1605.0,1905.0,,,,,,,,
KFA2 ST (1-Click OC),,,KFA2 ST (1-Click OC),12.0,2310.0,2625.0,,,,,,,,
MSI RTX 5060 Ti 8G INSPIRE 2X,,,MSI RTX 5060 Ti 8G INSPIRE 2X,8.0,2410.0,2587.0,,,,,,,,
MSI R5750-MD1G,,,MSI R5750-MD1G,1.0,700.0,,,,,,,,,
Galaxy 68NPH6DV5ZGX,,,Galaxy 68NPH6DV5ZGX,2.0,1006.0,,,,,,,,,
Asus R7250X-1GD5,,,Asus R7250X-1GD5,1.0,1000.0,,,,,,,,,
XFX PVT95GYAR2,,,XFX PVT95GYAR2,0.5,550.0,,,,,,,,,
EVGA 01G-P4-3655-KR,,,EVGA 01G-P4-3655-KR,1.0,980.0,,,,,,,,,
Zotac ZT-70502-10P,,,Zotac ZT-70502-10P,3.0,876.0,928.0,,,,,,,,
Asus POSEIDON-GTX980TI-P-6GD5,,,Asus POSEIDON-GTX980TI-P-6GD5,6.0,1114.0,1203.0,,,,,,,,
PowerColor AXR9 NANO 4GBHBM-DH,,,PowerColor AXR9 NANO 4GBHBM-DH,4.0,1000.0,,,,,,,,,
Gigabyte GV-N460OC-768I,,,Gigabyte GV-N460OC-768I,0.75,715.0,,,,,,,,,
Gigabyte GV-R435OC-512I,,,Gigabyte GV-R435OC-512I,0.5,650.0,,,,,,,,,
Gigabyte GV-R455D3-512I,,,Gigabyte GV-R455D3-512I,0.5,600.0,,,,,,,,,
Gigabyte GV-R577SO-1GD,,,Gigabyte GV-R577SO-1GD,1.0,900.0,,,,,,,,,
Gigabyte GV-R587SO-1GD,,,Gigabyte GV-R587SO-1GD,1.0,,,,,,,,,,
Gigabyte GV-R587UD-1GD,,,Gigabyte GV-R587UD-1GD,1.0,850.0,,,,,,,,,
EVGA 012-P3-1472-AR,,,EVGA 012-P3-1472-AR,1.25,625.0,,,,,,,,,
EVGA 015-P3-1480-AR,,,EVGA 015-P3-1480-AR,1.5,700.0,,,,,,,,,
EVGA 01G-P3-1372-TR,,,EVGA 01G-P3-1372-TR,1.0,763.0,,,,,,,,,
EVGA 01G-P3-1145-TR,,,EVGA 01G-P3-1145-TR,1.0,675.0,,,,,,,,,
Zotac ZT-20109-10P,,,Zotac ZT-20109-10P,1.0,675.0,,,,,,,,,
Asus EN9800GT/HTDP/512MD3,,,Asus EN9800GT/HTDP/512MD3,0.5,,,,,,,,,,
EVGA 01G-P3-1158-TR,,,EVGA 01G-P3-1158-TR,1.0,738.0,,,,,,,,,
XFX HD-455X-ZAF2,,,XFX HD-455X-ZAF2,1.0,625.0,,,,,,,,,
XFX HD-585X-ZAFC,,,XFX HD-585X-ZAFC,1.0,725.0,,,,,,,,,
XFX PVT86SYHLG,,,XFX PVT86SYHLG,0.5,567.0,,,,,,,,,
Asus ENGTX480/2DI/1536MD5,,,Asus ENGTX480/2DI/1536MD5,1.5,,,,,,,,,,
Asus ENGTX470/2DI/1280MD5,,,Asus ENGTX470/2DI/1280MD5,1.25,607.0,,,,,,,,,
Asus ENGTS250 DK/DI/1G,,,Asus ENGTS250 DK/DI/1G,1.0,,,,,,,,,,
XFX GS250XZSL4,,,XFX GS250XZSL4,1.0,,,,,,,,,,
XFX HD-435X-ZAH2,,,XFX HD-435X-ZAH2,1.0,600.0,,,,,,,,,
Zotac ZT-40201-10P,,,Zotac ZT-40201-10P,1.25,607.0,,,,,,,,,
Zotac ZT-40401-10P,,,Zotac ZT-40401-10P,0.75,675.0,,,,,,,,,
Zotac ZT-95TEH3M-FSL,,,Zotac ZT-95TEH3M-FSL,0.5,550.0,,,,,,,,,
PowerColor AX5670 1GBD5-NS3H,,,PowerColor AX5670 1GBD5-NS3H,1.0,,,,,,,,,,
Asus EAH6950/2DI2S/2GD5,,,Asus EAH6950/2DI2S/2GD5,2.0,810.0,,,,,,,,,
EVGA 012-P3-1570-AR,,,EVGA 012-P3-1570-AR,1.25,732.0,,,,,,,,,
Gigabyte GV-N570D5-13I-B,,,Gigabyte GV-N570D5-13I-B,1.25,732.0,,,,,,,,,
Gigabyte GV-N580D5-15I-B,,,Gigabyte GV-N580D5-15I-B,1.5,772.0,,,,,,,,,
MSI N570GTX-M2D12D5,,,MSI N570GTX-M2D12D5,1.25,732.0,,,,,,,,,
XFX HD-687A-ZNBC,,,XFX HD-687A-ZNBC,1.0,940.0,,,,,,,,,
MSI R6850-PM2D1GD5/OC,,,MSI R6850-PM2D1GD5/OC,1.0,820.0,,,,,,,,,
Sapphire 100315TXSR,,,Sapphire 100315TXSR,1.0,820.0,,,,,,,,,
PowerColor AX4650 1GBK3-H,,,PowerColor AX4650 1GBK3-H,1.0,600.0,,,,,,,,,
PowerColor AX4650 512MD2-LHV2,,,PowerColor AX4650 512MD2-LHV2,0.5,600.0,,,,,,,,,
Asus EAH5770 CuCore/2DI/1GD5,,,Asus EAH5770 CuCore/2DI/1GD5,1.0,850.0,,,,,,,,,
PowerColor AX5770 1GBD5-IDH,,,PowerColor AX5770 1GBD5-IDH,1.0,850.0,,,,,,,,,
Sapphire 100283FLEX,,,Sapphire 100283FLEX,1.0,850.0,,,,,,,,,
EVGA 768-P3-1360-TR,,,EVGA 768-P3-1360-TR,0.75,675.0,,,,,,,,,
Asus EAH5550/G/DI/1GD3(LP),,,Asus EAH5550/G/DI/1GD3(LP),1.0,550.0,,,,,,,,,
XFX HD-587X-ZNFC,,,XFX HD-587X-ZNFC,1.0,850.0,,,,,,,,,
XFX HD-587A-CNF9,,,XFX HD-587A-CNF9,2.0,850.0,,,,,,,,,
XFX HD-567X-ZNF3,,,XFX HD-567X-ZNF3,1.0,775.0,,,,,,,,,
XFX HD-435X-UAH2,,,XFX HD-435X-UAH2,0.25,600.0,,,,,,,,,
Gigabyte GV-R545D2-512D,,,Gigabyte GV-R545D2-512D,0.5,650.0,,,,,,,,,
Gigabyte GV-R545OC-512I,,,Gigabyte GV-R545OC-512I,0.5,700.0,,,,,,,,,
Biostar VA5452NH56,,,Biostar VA5452NH56,0.5,650.0,,,,,,,,,
MSI R4350-MD512H,,,MSI R4350-MD512H,0.5,600.0,,,,,,,,,
PowerColor AX5850 1GBD5-DH,,,PowerColor AX5850 1GBD5-DH,1.0,725.0,,,,,,,,,
Sapphire 100291L,,,Sapphire 100291L,0.5,650.0,,,,,,,,,
Sapphire 100292L,,,Sapphire 100292L,1.0,600.0,,,,,,,,,
Sapphire 100293-2GL,,,Sapphire 100293-2GL,2.0,,,,,,,,,,
Sapphire 100293L,,,Sapphire 100293L,1.0,650.0,,,,,,,,,
VisionTek 900307,,,VisionTek 900307,2.0,725.0,,,,,,,,,
EVGA 01G-P3-1467-AR,,,EVGA 01G-P3-1467-AR,1.0,625.0,,,,,,,,,
MSI CYCLONE,,,MSI CYCLONE,0.75,675.0,,,,,,,,,
MSI TWIN FROZR II SOC,,,MSI TWIN FROZR II SOC,0.75,750.0,,,,,,,,,
Zotac ZT-40301-10P,,,Zotac ZT-40301-10P,1.0,607.0,,,,,,,,,
Zotac ZT-40406-10P,,,Zotac ZT-40406-10P,2.0,710.0,,,,,,,,,
XFX PVT86SWHLG,,,XFX PVT86SWHLG,0.25,567.0,,,,,,,,,
Zotac ZT-50303-10M,,,Zotac ZT-50303-10M,1.0,850.0,,,,,,,,,
Gigabyte GV-N580UD-15I,,,Gigabyte GV-N580UD-15I,1.5,795.0,,,,,,,,,
Asus EN8400GS SILENT/DI/512MD2(LP),,,Asus EN8400GS SILENT/DI/512MD2(LP),0.5,589.0,,,,,,,,,
Asus EN8400GS SILENT/P/512M,,,Asus EN8400GS SILENT/P/512M,0.5,567.0,,,,,,,,,
Asus EN8400GS/DI/512MD2(LP),,,Asus EN8400GS/DI/512MD2(LP),0.5,589.0,,,,,,,,,
EVGA 012-P3-1571-KR,,,EVGA 012-P3-1571-KR,1.25,732.0,,,,,,,,,
EVGA 01G-P3-1441-KR,,,EVGA 01G-P3-1441-KR,1.0,810.0,,,,,,,,,
MSI N440GT-MD1GD3/LP,,,MSI N440GT-MD1GD3/LP,1.0,810.0,,,,,,,,,
VisionTek 900322,,,VisionTek 900322,2.0,,,,,,,,,,
Sapphire 100291DDR3L,,,Sapphire 100291DDR3L,0.5,650.0,,,,,,,,,
Sparkle SXT4302048S3LNM,,,Sparkle SXT4302048S3LNM,2.0,700.0,,,,,,,,,
XFX HD557XZNFR,,,XFX HD557XZNFR,1.0,650.0,,,,,,,,,
Zotac ZT-40602-10L,,,Zotac ZT-40602-10L,1.0,700.0,,,,,,,,,
Zotac ZT-40603-10L,,,Zotac ZT-40603-10L,1.0,700.0,,,,,,,,,
PNY VCGGT4301XPB,,,PNY VCGGT4301XPB,1.0,700.0,,,,,,,,,
PNY VCGGTX470XPB,,,PNY VCGGTX470XPB,1.25,607.0,,,,,,,,,
Gigabyte GV-N560SO-1GI-950,,,Gigabyte GV-N560SO-1GI-950,1.0,950.0,,,,,,,,,
PowerColor AX6950 1GBD5-2DH,,,PowerColor AX6950 1GBD5-2DH,1.0,800.0,,,,,,,,,
PowerColor AX6850 1GBD5-PPDHG,,,PowerColor AX6850 1GBD5-PPDHG,1.0,820.0,,,,,,,,,
XFX HD-467X-ZNL2,,,XFX HD-467X-ZNL2,1.0,650.0,,,,,,,,,
Asus ENGTX560 TI DCII TOP/2DI/1GD5,,,Asus ENGTX560 TI DCII TOP/2DI/1GD5,1.0,900.0,,,,,,,,,
PowerColor AX6990 4GBD5-M4D,,,PowerColor AX6990 4GBD5-M4D,4.0,830.0,,,,,,,,,
Gigabyte GV-N440D3-1GI,,,Gigabyte GV-N440D3-1GI,1.0,830.0,,,,,,,,,
Gigabyte GV-N550OC-1GI,,,Gigabyte GV-N550OC-1GI,1.0,970.0,,,,,,,,,
Zotac ZT-50402-10L,,,Zotac ZT-50402-10L,1.0,1000.0,,,,,,,,,
Sapphire 100314TXSR,,,Sapphire 100314TXSR,1.0,970.0,,,,,,,,,
HIS H545H1GD1,,,HIS H545H1GD1,1.0,650.0,,,,,,,,,
HIS H575QS1GD,,,HIS H575QS1GD,1.0,700.0,,,,,,,,,
HIS H685QNT1GD,,,HIS H685QNT1GD,1.0,820.0,,,,,,,,,
HIS H687QNT1G2M,,,HIS H687QNT1G2M,1.0,920.0,,,,,,,,,
Zotac ZT-50301-10M,,,Zotac ZT-50301-10M,1.0,822.0,,,,,,,,,
Zotac ZT-50302-10M,,,Zotac ZT-50302-10M,1.0,950.0,,,,,,,,,
Asus EAH6950 DCII/2DI4S/1GD5,,,Asus EAH6950 DCII/2DI4S/1GD5,1.0,810.0,,,,,,,,,
Asus EAH6450 Silent/DI/1GD3(LP),,,Asus EAH6450 Silent/DI/1GD3(LP),1.0,625.0,,,,,,,,,
Gigabyte GV-R687SO-1GD,,,Gigabyte GV-R687SO-1GD,1.0,950.0,,,,,,,,,
MSI R6670-MD1GD5,,,MSI R6670-MD1GD5,1.0,800.0,,,,,,,,,
PowerColor AX6770 1GBD5-H,,,PowerColor AX6770 1GBD5-H,1.0,850.0,,,,,,,,,
Sapphire 100312FLEX,,,Sapphire 100312FLEX,2.0,,,,,,,,,,
HIS H557HO1G,,,HIS H557HO1G,1.0,650.0,,,,,,,,,
PowerColor AP5450 512MD2-SH,,,PowerColor AP5450 512MD2-SH,0.5,650.0,,,,,,,,,
PowerColor AX6950 2GBD5-PPVG,,,PowerColor AX6950 2GBD5-PPVG,2.0,850.0,,,,,,,,,
XFX HD-675X-ZNLC,,,XFX HD-675X-ZNLC,1.0,700.0,,,,,,,,,
XFX HD-677X-ZNLC,,,XFX HD-677X-ZNLC,1.0,850.0,,,,,,,,,
Gigabyte GV-R645OC-1GI,,,Gigabyte GV-R645OC-1GI,1.0,675.0,,,,,,,,,
Gigabyte GV-N580SO-15I,,,Gigabyte GV-N580SO-15I,1.5,855.0,,,,,,,,,
PNY VCGGT4401XPB,,,PNY VCGGT4401XPB,1.0,810.0,,,,,,,,,
Zotac ZT-50103-10P,,,Zotac ZT-50103-10P,3.0,772.0,,,,,,,,,
Zotac ZT-50204-10M,,,Zotac ZT-50204-10M,1.25,780.0,,,,,,,,,
Asus ENGTX560 DCII TOP/2DI/1GD5,,,Asus ENGTX560 DCII TOP/2DI/1GD5,1.0,925.0,,,,,,,,,
HIS H679F1GD,,,HIS H679F1GD,1.0,840.0,,,,,,,,,
PNY VCGGTX560XPB,,,PNY VCGGTX560XPB,1.0,810.0,,,,,,,,,
Asus MATRIX GTX580 P/2DIS/1536MD5,,,Asus MATRIX GTX580 P/2DIS/1536MD5,1.5,816.0,,,,,,,,,
Diamond 6450PE31G,,,Diamond 6450PE31G,1.0,625.0,,,,,,,,,
EVGA 02G-P3-1469-KR,,,EVGA 02G-P3-1469-KR,2.0,850.0,,,,,,,,,
Gigabyte GV-N570OC-13I Rev2.0,,,Gigabyte GV-N570OC-13I Rev2.0,1.25,780.0,,,,,,,,,
Gigabyte GV-R657OC-1GI,,,Gigabyte GV-R657OC-1GI,1.0,670.0,,,,,,,,,
Gigabyte GV-R677UD-1GD,,,Gigabyte GV-R677UD-1GD,1.0,850.0,,,,,,,,,
Zotac ZT-50603-10L,,,Zotac ZT-50603-10L,1.0,810.0,,,,,,,,,
XFX GT-520M-ZNF2,,,XFX GT-520M-ZNF2,1.0,810.0,,,,,,,,,
XFX HD-685X-ZNFR,,,XFX HD-685X-ZNFR,1.0,775.0,,,,,,,,,
XFX HD-687A-ZHFC,,,XFX HD-687A-ZHFC,1.0,900.0,,,,,,,,,
XFX HD-695X-CDFC,,,XFX HD-695X-CDFC,2.0,800.0,,,,,,,,,
Gigabyte GV-R545D3-1GI,,,Gigabyte GV-R545D3-1GI,1.0,650.0,,,,,,,,,
XFX HD-677X-ZNFC,,,XFX HD-677X-ZNFC,1.0,850.0,,,,,,,,,
VisionTek 900373,,,VisionTek 900373,2.0,,,,,,,,,,
Galaxy 43GGS8HX3SPZ,,,Galaxy 43GGS8HX3SPZ,1.0,700.0,,,,,,,,,
Gigabyte GV-R677D5-1GD,,,Gigabyte GV-R677D5-1GD,1.0,775.0,,,,,,,,,
Gigabyte GV-N56GSO-1GI,,,Gigabyte GV-N56GSO-1GI,1.0,900.0,,,,,,,,,
Zotac ZT-50705-10M,,,Zotac ZT-50705-10M,2.0,820.0,,,,,,,,,
Zotac ZT-50703-10M,,,Zotac ZT-50703-10M,1.0,860.0,,,,,,,,,
Galaxy 57NKH3HS00GZ,,,Galaxy 57NKH3HS00GZ,1.25,732.0,,,,,,,,,
PowerColor AX6750 1GBD5-NS3DHG,,,PowerColor AX6750 1GBD5-NS3DHG,1.0,700.0,,,,,,,,,
Asus ENGT440 DC SL/DI/1GD3,,,Asus ENGT440 DC SL/DI/1GD3,1.0,810.0,,,,,,,,,
EVGA 012-P3-1572-TR,,,EVGA 012-P3-1572-TR,1.25,797.0,,,,,,,,,
Zotac ZT-50706-10M,,,Zotac ZT-50706-10M,1.0,820.0,,,,,,,,,
XFX HD-667X-ZWF4,,,XFX HD-667X-ZWF4,1.0,800.0,,,,,,,,,
Zotac ZT-50403-10L,,,Zotac ZT-50403-10L,1.0,900.0,,,,,,,,,
XFX HD-545X-CDH2,,,XFX HD-545X-CDH2,2.0,650.0,,,,,,,,,
Gigabyte GV-N210SL-1GI,,,Gigabyte GV-N210SL-1GI,1.0,520.0,,,,,,,,,
Diamond A4890PE51G,,,Diamond A4890PE51G,1.0,850.0,,,,,,,,,
Diamond A5970PE52G,,,Diamond A5970PE52G,2.0,725.0,,,,,,,,,
Asus EAH6770/DI/1GD5,,,Asus EAH6770/DI/1GD5,1.0,850.0,,,,,,,,,
MSI N8400GS-D512H/LP,,,MSI N8400GS-D512H/LP,0.5,520.0,,,,,,,,,
MSI R6570-MD1G/LP,,,MSI R6570-MD1G/LP,1.0,650.0,,,,,,,,,
Sparkle X550 Ti DF,,,Sparkle X550 Ti DF,1.0,1000.0,,,,,,,,,
EVGA 015-P3-1582-A1,,,EVGA 015-P3-1582-A1,1.5,797.0,,,,,,,,,
Zotac ZT-50708-10M,,,Zotac ZT-50708-10M,1.0,820.0,,,,,,,,,
ECS NGTX550TI-1GPLI-F1,,,ECS NGTX550TI-1GPLI-F1,1.0,900.0,,,,,,,,,
Gigabyte GV-N560448-13I,,,Gigabyte GV-N560448-13I,1.25,732.0,,,,,,,,,
Zotac ZT-40609-10L,,,Zotac ZT-40609-10L,1.0,700.0,,,,,,,,,
Zotac ZT-50709-10M,,,Zotac ZT-50709-10M,2.0,820.0,,,,,,,,,
EVGA 01G-P3-1361-KR,,,EVGA 01G-P3-1361-KR,1.0,823.0,,,,,,,,,
Sapphire 21197-00-40G,,,Sapphire 21197-00-40G,3.0,925.0,,,,,,,,,
MSI N450GTS-MD2GD3,,,MSI N450GTS-MD2GD3,2.0,783.0,,,,,,,,,
Sapphire 100315-2GL,,,Sapphire 100315-2GL,2.0,775.0,,,,,,,,,
PowerColor AX6750 1GBK3-H,,,PowerColor AX6750 1GBK3-H,1.0,700.0,,,,,,,,,
Zotac ZT-40707-10L,,,Zotac ZT-40707-10L,2.0,810.0,,,,,,,,,
Gigabyte GV-R797OC-3GD,,,Gigabyte GV-R797OC-3GD,3.0,1000.0,,,,,,,,,
XFX FX-795A-TDBC,,,XFX FX-795A-TDBC,3.0,900.0,,,,,,,,,
VisionTek 900491,,,VisionTek 900491,3.0,925.0,,,,,,,,,
Asus HD7950-DC2-3GD5,,,Asus HD7950-DC2-3GD5,3.0,800.0,,,,,,,,,
XFX FX-777A-ZDF4,,,XFX FX-777A-ZDF4,1.0,1000.0,,,,,,,,,
HIS H775F1GD,,,HIS H775F1GD,1.0,800.0,,,,,,,,,
XFX FX-777A-ZDB4,,,XFX FX-777A-ZDB4,1.0,1095.0,,,,,,,,,
Asus HD7750-1GD5,,,Asus HD7750-1GD5,1.0,820.0,,,,,,,,,
MSI R7750-PMD1GD5/OC,,,MSI R7750-PMD1GD5/OC,1.0,800.0,,,,,,,,,
PowerColor AX6570 2GBK3-H,,,PowerColor AX6570 2GBK3-H,2.0,650.0,,,,,,,,,
EVGA 012-P3-2078-KR,,,EVGA 012-P3-2078-KR,1.25,810.0,,,,,,,,,
XFX HD-675X-ZDFC,,,XFX HD-675X-ZDFC,1.0,700.0,,,,,,,,,
PowerColor AX7870 2GBD5-2DH,,,PowerColor AX7870 2GBD5-2DH,2.0,1000.0,,,,,,,,,
HIS H785F2G2M,,,HIS H785F2G2M,2.0,860.0,,,,,,,,,
PNY VCGGTX680XPB,,,PNY VCGGTX680XPB,2.0,1006.0,,,,,,,,,
Sapphire 11199-00-20G,,,Sapphire 11199-00-20G,2.0,1000.0,,,,,,,,,
MSI N680GTX-PM2D2GD5,,,MSI N680GTX-PM2D2GD5,2.0,1006.0,,,,,,,,,
Sapphire 11188-22-20G,,,Sapphire 11188-22-20G,2.0,,,,,,,,,,
ATI 100-505649,,,ATI 100-505649,1.0,,,,,,,,,,
