name,brand,family,model,vram_gb,base_ghz,boost_ghz,release_year,process_nm,directx,opengl,shader_model,architecture,bus_interface,memory_type
Zotac Twin Edge,,,Zotac Twin Edge,16.0,2410.0,2572.0,,,,,,,,
MSI INSPIRE 3X OC PLUS,,,MSI INSPIRE 3X OC PLUS,16.0,2300.0,2497.0,,,,,,,,
ASRock Intel Arc A380 Challenger ITX,,,ASRock Intel Arc A380 Challenger ITX,6.0,2250.0,,,,,,,,,
ONIX LUMI OC,,,ONIX LUMI OC,12.0,2670.0,2740.0,,,,,,,,
XFX RX-79GMERCB9,,,XFX RX-79GMERCB9,16.0,1270.0,2395.0,,,,,,,,
MSI GeForce RTX 3080 VENTUS 3X 10G OC,,,MSI GeForce RTX 3080 VENTUS 3X 10G OC,10.0,1440.0,,,,,,,,,
MSI GT 710 2GD3H LP,,,MSI GT 710 2GD3H LP,2.0,954.0,954.0,,,,,,,,
Palit GamingPro,,,Palit GamingPro,16.0,2300.0,2452.0,,,,,,,,
MSI GeForce RTX 2070 SUPER VENTUS GP OC,,,MSI GeForce RTX 2070 SUPER VENTUS GP OC,8.0,1605.0,1785.0,,,,,,,,
MSI GTX 1050 Ti 4GT OC,,,MSI GTX 1050 Ti 4GT OC,4.0,1341.0,1455.0,,,,,,,,
Gigabyte EAGLE OC ICE SFF,,,Gigabyte EAGLE OC ICE SFF,16.0,2541.0,,,,,,,,,
MSI GeForce RTX 3070 VENTUS 3X OC,,,MSI GeForce RTX 3070 VENTUS 3X OC,8.0,1500.0,1755.0,,,,,,,,
MSI GeForce GTX 1650 SUPER,,,MSI GeForce GTX 1650 SUPER,4.0,1530.0,1740.0,,,,,,,,
MSI GAMING X,,,MSI GAMING X,8.0,1470.0,1695.0,,,,,,,,
XFX Speedster SWFT 319,,,XFX Speedster SWFT 319,16.0,1700.0,2105.0,,,,,,,,
ASRock Radeon RX6700XT CLD 12G,,,ASRock Radeon RX6700XT CLD 12G,12.0,2321.0,2581.0,,,,,,,,
Asus Dual V3,,,Asus Dual V3,8.0,1626.0,2491.0,,,,,,,,
MSI VANGUARD SOC LAUNCH EDITION,,,MSI VANGUARD SOC LAUNCH EDITION,32.0,2010.0,,,,,,,,,
MSI GeForce GTX 1060 6GT OCV1,,,MSI GeForce GTX 1060 6GT OCV1,6.0,1544.0,1759.0,,,,,,,,
Zotac GAMING SOLID CORE OC,,,Zotac GAMING SOLID CORE OC,16.0,2300.0,2640.0,,,,,,,,
PNY XLR8 Gaming VERTO EPIC-X RGB,,,PNY XLR8 Gaming VERTO EPIC-X RGB,12.0,1920.0,2475.0,,,,,,,,
NVIDIA 9001G4112520001,NVIDIA,,9001G4112520001,8.0,1506.0,1683.0,,,,,,,,
MSI VENTUS 2X,,,MSI VENTUS 2X,8.0,2280.0,2512.0,,,,,,,,
MSI INSPIRE 3X OC,,,MSI INSPIRE 3X OC,16.0,2300.0,2655.0,,,,,,,,
Palit Infinity 3 OC,,,Palit Infinity 3 OC,16.0,2407.0,2662.0,,,,,,,,
MSI RTX 3060 Ventus 3X 12G OC,,,MSI RTX 3060 Ventus 3X 12G OC,12.0,1320.0,1807.0,,,,,,,,
XFX Speedster MERC 319 CORE,,,XFX Speedster MERC 319 CORE,16.0,1825.0,2250.0,,,,,,,,
MSI RTX 4070 Ti SUPER 16G VENTUS 3X BLACK OC,,,MSI RTX 4070 Ti SUPER 16G VENTUS 3X BLACK OC,16.0,2340.0,2655.0,,,,,,,,
Asus GT1030-2G-CSM,,,Asus GT1030-2G-CSM,2.0,1266.0,1506.0,,,,,,,,
Gainward Python III,,,Gainward Python III,16.0,2410.0,2572.0,,,,,,,,
Asus ProArt OC,,,Asus ProArt OC,16.0,2210.0,2640.0,,,,,,,,
PowerColor Fighter OC,,,PowerColor Fighter OC,4.0,2310.0,,,,,,,,,
MSI GAMING OC,,,MSI GAMING OC,8.0,2280.0,2640.0,,,,,,,,
Zotac GAMING Twin Fan,,,Zotac GAMING Twin Fan,6.0,1530.0,1785.0,,,,,,,,
PNY RTX A-Series,,,PNY RTX A-Series,48.0,1455.0,1860.0,,,,,,,,
EVGA XC3 ULTRA GAMING,,,EVGA XC3 ULTRA GAMING,8.0,1500.0,1770.0,,,,,,,,
Inno3D X3,,,Inno3D X3,16.0,2295.0,2617.0,,,,,,,,
MSI RX 6600 XT MECH 2X 8G OC,,,MSI RX 6600 XT MECH 2X 8G OC,8.0,1968.0,2602.0,,,,,,,,
Palit GameRock,,,Palit GameRock,32.0,2010.0,,,,,,,,,
Gigabyte GV-R9070XTGAMING-16GD,,,Gigabyte GV-R9070XTGAMING-16GD,16.0,2400.0,2970.0,,,,,,,,
MSI LP OC,,,MSI LP OC,6.0,1040.0,1492.0,,,,,,,,
MSI GeForce RTX 3060 Ventus 2X 12G OC,,,MSI GeForce RTX 3060 Ventus 2X 12G OC,12.0,1320.0,1807.0,,,,,,,,
PNY Triple Fan Plus OC,,,PNY Triple Fan Plus OC,16.0,2295.0,2572.0,,,,,,,,
XFX Mercury OC Magnetic Air RGB,,,XFX Mercury OC Magnetic Air RGB,16.0,1870.0,3100.0,,,,,,,,
ASRock Steel Legend Dark,,,ASRock Steel Legend Dark,16.0,2400.0,2970.0,,,,,,,,
MSI GeForce RTX 2060 VENTUS GP OC,,,MSI GeForce RTX 2060 VENTUS GP OC,6.0,1365.0,1710.0,,,,,,,,
EVGA FTW3 ULTRA GAMING LE iCX3,,,EVGA FTW3 ULTRA GAMING LE iCX3,12.0,1365.0,1800.0,,,,,,,,
Asus DUAL,,,Asus DUAL,8.0,2220.0,,,,,,,,,
MSI RX 580 8G,,,MSI RX 580 8G,8.0,1257.0,1340.0,,,,,,,,
Sparkle TITAN Luna OC,,,Sparkle TITAN Luna OC,12.0,2670.0,2740.0,,,,,,,,
XFX Mercury,,,XFX Mercury,16.0,1870.0,3100.0,,,,,,,,
Asus ROG STRIX-GTX1070-O8G-GAMING,,,Asus ROG STRIX-GTX1070-O8G-GAMING,8.0,1632.0,1860.0,,,,,,,,
MSI D4 LP OC,,,MSI D4 LP OC,4.0,1151.0,1430.0,,,,,,,,
Acer Nitro OC,,,Acer Nitro OC,12.0,2740.0,,,,,,,,,
Zotac GAMING SOLID CORE,,,Zotac GAMING SOLID CORE,16.0,2300.0,2617.0,,,,,,,,
XFX Speedster QICK 210,,,XFX Speedster QICK 210,4.0,2310.0,2825.0,,,,,,,,
Asus ROG STRIX OC,,,Asus ROG STRIX OC,8.0,1830.0,2700.0,,,,,,,,
EVGA XC GAMING,,,EVGA XC GAMING,8.0,1410.0,1710.0,,,,,,,,
AMD 100-438385,AMD,,100-438385,12.0,2321.0,2581.0,,,,,,,,
EVGA SC ULTRA GAMING,,,EVGA SC ULTRA GAMING,6.0,1530.0,1830.0,,,,,,,,
Zotac GAMING AMP Extreme AIRO,,,Zotac GAMING AMP Extreme AIRO,24.0,2235.0,2580.0,,,,,,,,
XFX Mercury OC RGB V2,,,XFX Mercury OC RGB V2,16.0,1870.0,3100.0,,,,,,,,
MSI GeForce RTX 3080 GAMING X TRIO 10G,,,MSI GeForce RTX 3080 GAMING X TRIO 10G,10.0,1440.0,,,,,,,,,
MSI GT 710 1GD3H LP,,,MSI GT 710 1GD3H LP,1.0,954.0,,,,,,,,,
MSI Radeon RX 5600 XT GAMING MX,,,MSI Radeon RX 5600 XT GAMING MX,6.0,1280.0,1620.0,,,,,,,,
PowerColor Red Devil E/OC,,,PowerColor Red Devil E/OC,16.0,2460.0,3060.0,,,,,,,,
Inno3D X3 OC,,,Inno3D X3 OC,16.0,2295.0,2640.0,,,,,,,,
PowerColor Red Devil,,,PowerColor Red Devil,8.0,1605.0,1905.0,,,,,,,,
PowerColor Fighter,,,PowerColor Fighter,8.0,1626.0,2491.0,,,,,,,,
Zotac SOLID SFF,,,Zotac SOLID SFF,16.0,2300.0,2452.0,,,,,,,,
Asus STRIX GAMING,,,Asus STRIX GAMING,11.0,1493.0,1632.0,,,,,,,,
MSI RTX 3070 GAMING X TRIO,,,MSI RTX 3070 GAMING X TRIO,8.0,1500.0,1830.0,,,,,,,,
AMD 100-300000082,AMD,,100-300000082,16.0,1295.0,2430.0,,,,,,,,
Zotac GAMING AMP,,,Zotac GAMING AMP,16.0,2410.0,2632.0,,,,,,,,
PNY VERTO,,,PNY VERTO,16.0,2310.0,2535.0,,,,,,,,
AMD 100-300000053,AMD,,100-300000053,24.0,2300.0,2500.0,,,,,,,,
Zotac Solid OC,,,Zotac Solid OC,16.0,2300.0,2640.0,,,,,,,,
MSI GAMING Z TRIO,,,MSI GAMING Z TRIO,16.0,1825.0,2310.0,,,,,,,,
Gigabyte OC,,,Gigabyte OC,6.0,1500.0,1800.0,,,,,,,,
Sparkle ECO,,,Sparkle ECO,4.0,1750.0,1000.0,,,,,,,,
Asus ROG Astral,,,Asus ROG Astral,16.0,2300.0,,,,,,,,,
Zotac GAMING Twin Edge OC,,,Zotac GAMING Twin Edge OC,8.0,1830.0,2490.0,,,,,,,,
Sparkle ELF,,,Sparkle ELF,6.0,2000.0,2000.0,,,,,,,,
Zotac GAMING Trinity,,,Zotac GAMING Trinity,16.0,2340.0,2610.0,,,,,,,,
MSI GeForce RTX 3060 Gaming X12G,,,MSI GeForce RTX 3060 Gaming X12G,12.0,1320.0,1837.0,,,,,,,,
Asus STRIX GAMING OC,,,Asus STRIX GAMING OC,24.0,1395.0,1890.0,,,,,,,,
PowerColor RX 7900 XT 20G,,,PowerColor RX 7900 XT 20G,20.0,2000.0,2400.0,,,,,,,,
Asus ROG STRIX TOP,,,Asus ROG STRIX TOP,8.0,1257.0,1431.0,,,,,,,,
MSI GAMING,,,MSI GAMING,4.0,1140.0,1279.0,,,,,,,,
Zotac ZT-71115-20L,,,Zotac ZT-71115-20L,4.0,902.0,,,,,,,,,
PowerColor Hellhound Sakura OC,,,PowerColor Hellhound Sakura OC,16.0,1295.0,2520.0,,,,,,,,
Yeston Sakura,,,Yeston Sakura,12.0,1980.0,2640.0,,,,,,,,
ASRock Challenger D OC,,,ASRock Challenger D OC,8.0,1968.0,,,,,,,,,
XFX Quicksilver Magnetic Air,,,XFX Quicksilver Magnetic Air,16.0,1870.0,3100.0,,,,,,,,
MSI SUPRIM LIQUID X,,,MSI SUPRIM LIQUID X,24.0,2235.0,,,,,,,,,
EVGA BLACK GAMING,,,EVGA BLACK GAMING,8.0,1605.0,1770.0,,,,,,,,
MSI Radeon RX 570 ARMOR 8G,,,MSI Radeon RX 570 ARMOR 8G,8.0,1168.0,1244.0,,,,,,,,
Gigabyte GV-N1030D4-2GL,,,Gigabyte GV-N1030D4-2GL,2.0,1151.0,1417.0,,,,,,,,
XFX Quicksilver OC,,,XFX Quicksilver OC,16.0,1440.0,2700.0,,,,,,,,
Sapphire PULSE Low Profile,,,Sapphire PULSE Low Profile,4.0,1923.0,,,,,,,,,
MSI RTX 5060 Ti 16G INSPIRE 2X OC,,,MSI RTX 5060 Ti 16G INSPIRE 2X OC,16.0,2410.0,2632.0,,,,,,,,
AMD 100-300000120,AMD,,100-300000120,8.0,1720.0,2655.0,,,,,,,,
XFX Speedster MERC 319 Black,,,XFX Speedster MERC 319 Black,16.0,1295.0,2565.0,,,,,,,,
MSI GAMING X SLIM,,,MSI GAMING X SLIM,12.0,1980.0,2655.0,,,,,,,,
MSI GAMING X TRIO,,,MSI GAMING X TRIO,8.0,1650.0,1845.0,,,,,,,,
MSI VENTUS 2X PLUS,,,MSI VENTUS 2X PLUS,16.0,2410.0,2587.0,,,,,,,,
XFX Mercury OC,,,XFX Mercury OC,16.0,2220.0,3320.0,,,,,,,,
Palit Dual,,,Palit Dual,8.0,2280.0,2497.0,,,,,,,,
AMD 100-300000074,AMD,,100-300000074,48.0,1855.0,2495.0,,,,,,,,
Asus ROG STRIX,,,Asus ROG STRIX,8.0,1670.0,1835.0,,,,,,,,
MSI Radeon RX 5500 XT MECH 8G OC,,,MSI Radeon RX 5500 XT MECH 8G OC,8.0,1647.0,1845.0,,,,,,,,
PowerColor Red Devil Ultimate,,,PowerColor Red Devil Ultimate,16.0,1825.0,2425.0,,,,,,,,
MSI GeForce GTX 1060 3G OCV1,,,MSI GeForce GTX 1060 3G OCV1,3.0,1544.0,1759.0,,,,,,,,
Palit GamingPro OC,,,Palit GamingPro OC,16.0,2295.0,2700.0,,,,,,,,
Gigabyte WINDFORCE OC V2,,,Gigabyte WINDFORCE OC V2,12.0,1920.0,2490.0,,,,,,,,
Zotac GAMING Trinity OC,,,Zotac GAMING Trinity OC,24.0,2235.0,2535.0,,,,,,,,
Asus TUF Gaming OG OC,,,Asus TUF Gaming OG OC,24.0,2235.0,2595.0,,,,,,,,
EVGA SC2,,,EVGA SC2,11.0,1556.0,1670.0,,,,,,,,
PNY VCNRTX4000ADA-PB,,,PNY VCNRTX4000ADA-PB,20.0,1500.0,2175.0,,,,,,,,
Sparkle ROC Luna OC,,,Sparkle ROC Luna OC,8.0,2050.0,2200.0,,,,,,,,
GALAX (1-click OC),,,GALAX (1-click OC),16.0,2300.0,2640.0,,,,,,,,
EVGA SC GAMING ACX 3.0,,,EVGA SC GAMING ACX 3.0,8.0,1594.0,1784.0,,,,,,,,
MSI Radeon RX 6600 MECH 2X 8G,,,MSI Radeon RX 6600 MECH 2X 8G,8.0,1626.0,2491.0,,,,,,,,
